year,displaced_fuel,end_use,rate_category,municipality,installed_hp_accounts,installed_hp_locations
2019,Electric,HVAC,Income eligible,Westford,1,1
2019,Electric,HVAC,Income eligible,Tisbury,2,2
2019,Electric,HVAC,Income eligible,Hamilton,1,1
2019,Electric,HVAC,Income eligible,Essex,3,3
2019,Electric,HVAC,Income eligible,Amesbury,1,1
2019,Electric,HVAC,Market rate,Yarmouth,5,5
2019,Electric,HVAC,Market rate,Wrentham,3,3
2019,Electric,HVAC,Market rate,Worcester,14,14
2019,Electric,HVAC,Market rate,Woburn,3,3
2019,Electric,HVAC,Market rate,Windsor,1,1
2019,Electric,HVAC,Market rate,Winchendon,3,3
2019,Electric,HVAC,Market rate,Whitman,1,1
2019,Electric,HVAC,Market rate,Weymouth,3,3
2019,Electric,HVAC,Market rate,Westwood,4,4
2019,Electric,HVAC,Market rate,Westminster,1,1
2019,Electric,HVAC,Market rate,Westford,3,3
2019,Electric,HVAC,Market rate,Westborough,11,10
2019,Electric,HVAC,Market rate,West Tisbury,5,5
2019,Electric,HVAC,Market rate,West Stockbridge,2,2
2019,Electric,HVAC,Market rate,West Springfield,4,4
2019,Electric,HVAC,Market rate,West Newbury,2,2
2019,Electric,HVAC,Market rate,West Bridgewater,1,1
2019,Electric,HVAC,Market rate,Wellfleet,4,4
2019,Electric,HVAC,Market rate,Webster,7,7
2019,Electric,HVAC,Market rate,Watertown,1,1
2019,Electric,HVAC,Market rate,Warren,2,2
2019,Electric,HVAC,Market rate,Wareham,5,5
2019,Electric,HVAC,Market rate,Ware,3,3
2019,Electric,HVAC,Market rate,Waltham,2,2
2019,Electric,HVAC,Market rate,Walpole,3,3
2019,Electric,HVAC,Market rate,Wales,2,2
2019,Electric,HVAC,Market rate,Uxbridge,3,3
2019,Electric,HVAC,Market rate,Tyngsborough,1,1
2019,Electric,HVAC,Market rate,Truro,4,4
2019,Electric,HVAC,Market rate,Swansea,1,1
2019,Electric,HVAC,Market rate,Sutton,3,3
2019,Electric,HVAC,Market rate,Sudbury,1,1
2019,Electric,HVAC,Market rate,Sturbridge,6,6
2019,Electric,HVAC,Market rate,Stoneham,2,2
2019,Electric,HVAC,Market rate,Stockbridge,1,1
2019,Electric,HVAC,Market rate,Springfield,9,9
2019,Electric,HVAC,Market rate,Spencer,5,5
2019,Electric,HVAC,Market rate,Southwick,2,2
2019,Electric,HVAC,Market rate,Southbridge,6,6
2019,Electric,HVAC,Market rate,Southborough,1,1
2019,Electric,HVAC,Market rate,Southampton,2,2
2019,Electric,HVAC,Market rate,Somerset,1,1
2019,Electric,HVAC,Market rate,Shutesbury,2,2
2019,Electric,HVAC,Market rate,Shirley,4,4
2019,Electric,HVAC,Market rate,Sherborn,2,2
2019,Electric,HVAC,Market rate,Shelburne,1,1
2019,Electric,HVAC,Market rate,Sheffield,5,5
2019,Electric,HVAC,Market rate,Sharon,2,2
