municipality,year,displaced_fuel,installed_hp_accounts,installed_hp_locations
Acton,2022,nodisplacement,,
Agawam,2022,nodisplacement,,
Amherst,2022,nodisplacement,,
Arlington,2022,nodisplacement,,
Auburn,2022,nodisplacement,,
Becket,2022,nodisplacement,,
Berlin,2022,nodisplacement,,
Bolton,2022,nodisplacement,,
Boston,2022,nodisplacement,,
Bourne,2022,nodisplacement,,
Brookline,2022,nodisplacement,,
Burlington,2022,nodisplacement,,
Cambridge,2022,nodisplacement,,
Carlisle,2022,nodisplacement,,
Conway,2022,nodisplacement,,
Deerfield,2022,nodisplacement,,
Dover,2022,nodisplacement,,
Dunstable,2022,nodisplacement,,
Easton,2022,nodisplacement,,
Everett,2022,nodisplacement,,
Falmouth,2022,nodisplacement,,
Framingham,2022,nodisplacement,,
Freetown,2022,nodisplacement,,
Grafton,2022,nodisplacement,,
Greenfield,2022,nodisplacement,,
Harvard,2022,nodisplacement,,
Holliston,2022,nodisplacement,,
Hopedale,2022,nodisplacement,,
Leominster,2022,nodisplacement,,
Lexington,2022,nodisplacement,,
Ludlow,2022,nodisplacement,,
Malden,2022,nodisplacement,,
Medfield,2022,nodisplacement,,
Medford,2022,nodisplacement,,
Millbury,2022,nodisplacement,,
Millis,2022,nodisplacement,,
Natick,2022,nodisplacement,,
Needham,2022,nodisplacement,,
New Bedford,2022,nodisplacement,,
Newton,2022,nodisplacement,,
Oak Bluffs,2022,nodisplacement,,
Oxford,2022,nodisplacement,,
Pelham,2022,nodisplacement,,
Pittsfield,2022,nodisplacement,,
Rehoboth,2022,nodisplacement,,
Rutland,2022,nodisplacement,,
Salem,2022,nodisplacement,,
Salisbury,2022,nodisplacement,,
Sandisfield,2022,nodisplacement,,
Seekonk,2022,nodisplacement,,
Sharon,2022,nodisplacement,,
Sherborn,2022,nodisplacement,,
Southampton,2022,nodisplacement,,
Southborough,2022,nodisplacement,,
Southwick,2022,nodisplacement,,
Springfield,2022,nodisplacement,,
Stoneham,2022,nodisplacement,,
Sudbury,2022,nodisplacement,,
